# Incident Angle Wavelength  Reflectance 
  34.4999708591 500.0000000000  1.0000000000 
  34.7499706479 500.0000000000  1.0000000000 
  34.9999704368 500.0000000000  1.0000000000 
  35.2499702256 500.0000000000  1.0000000000 
  35.4999700144 500.0000000000  1.0000000000 
  35.7499698033 500.0000000000  1.0000000000 
  35.9999695921 500.0000000000  1.0000000000 
  36.2499693809 500.0000000000  1.0000000000 
  36.4999691698 500.0000000000  1.0000000000 
  36.7499689586 500.0000000000  1.0000000000 
  36.9999687474 500.0000000000  1.0000000000 
  37.2499685363 500.0000000000  1.0000000000 
  37.4999683251 500.0000000000  1.0000000000 
  37.7499681139 500.0000000000  1.0000000000 
  37.9999679028 500.0000000000  1.0000000000 
  38.2499676916 500.0000000000  1.0000000000 
  38.4999674804 500.0000000000  1.0000000000 
  38.7499672693 500.0000000000  1.0000000000 
  38.9999670581 500.0000000000  1.0000000000 
  39.2499668469 500.0000000000  1.0000000000 
  39.4999666358 500.0000000000  1.0000000000 
  39.7499664246 500.0000000000  1.0000000000 
  39.9999662134 500.0000000000  1.0000000000 
  40.2499660023 500.0000000000  1.0000000000 
  40.4999657911 500.0000000000  1.0000000000 
  40.7499655799 500.0000000000  1.0000000000 
  40.9999653688 500.0000000000  1.0000000000 
  41.2499651576 500.0000000000  1.0000000000 
  41.4999649464 500.0000000000  1.0000000000 
  41.7499647353 500.0000000000  1.0000000000 
  41.9999645241 500.0000000000  1.0000000000 
  42.2499643129 500.0000000000  1.0000000000 
  42.4999641018 500.0000000000  1.0000000000 
  42.7499638906 500.0000000000  1.0000000000 
  42.9999636795 500.0000000000  1.0000000000 
  43.2499634683 500.0000000000  1.0000000000 
  43.4999632571 500.0000000000  1.0000000000 
  43.7499630460 500.0000000000  1.0000000000 
  43.9999628348 500.0000000000  1.0000000000 
  44.2499626236 500.0000000000  1.0000000000 
  44.4999624125 500.0000000000  1.0000000000 
  44.7499622013 500.0000000000  1.0000000000 
  44.9999619901 500.0000000000  1.0000000000 
  45.2499617790 500.0000000000  1.0000000000 
  45.4999615678 500.0000000000  1.0000000000 
  45.7499613566 500.0000000000  1.0000000000 
  45.9999611455 500.0000000000  1.0000000000 
  46.2499609343 500.0000000000  1.0000000000 
  46.4999607231 500.0000000000  1.0000000000 
  46.7499605120 500.0000000000  1.0000000000 
  46.9999603008 500.0000000000  1.0000000000 
  47.2499600896 500.0000000000  1.0000000000 
  47.4999598785 500.0000000000  1.0000000000 
  47.7499596673 500.0000000000  1.0000000000 
  47.9999594561 500.0000000000  1.0000000000 
  48.2499592450 500.0000000000  1.0000000000 
  48.4999590338 500.0000000000  1.0000000000 
  48.7499588226 500.0000000000  1.0000000000 
  48.9999586115 500.0000000000  1.0000000000 
  49.2499584003 500.0000000000  1.0000000000 
  49.4999581891 500.0000000000  1.0000000000 
  49.7499579780 500.0000000000  1.0000000000 
  49.9999577668 500.0000000000  1.0000000000 
  50.2499575556 500.0000000000  1.0000000000 
  50.4999573445 500.0000000000  1.0000000000 
  50.7499571333 500.0000000000  1.0000000000 
  50.9999569221 500.0000000000  1.0000000000 
  51.2499567110 500.0000000000  1.0000000000 
  51.4999564998 500.0000000000  1.0000000000 
  51.7499562886 500.0000000000  1.0000000000 
  51.9999560775 500.0000000000  1.0000000000 
  52.2499558663 500.0000000000  1.0000000000 
  52.4999556551 500.0000000000  1.0000000000 
  52.7499554440 500.0000000000  1.0000000000 
  52.9999552328 500.0000000000  1.0000000000 
  53.2499550216 500.0000000000  1.0000000000 
  53.4999548105 500.0000000000  1.0000000000 
  53.7499545993 500.0000000000  1.0000000000 
  53.9999543881 500.0000000000  1.0000000000 
  54.2499541770 500.0000000000  1.0000000000 
  54.4999539658 500.0000000000  1.0000000000 
  54.7499537546 500.0000000000  1.0000000000 
  54.9999535435 500.0000000000  1.0000000000 
  55.2499533323 500.0000000000  1.0000000000 
  55.4999531212 500.0000000000  1.0000000000 
  55.7499529100 500.0000000000  1.0000000000 
  55.9999526988 500.0000000000  1.0000000000 
  56.2499524877 500.0000000000  1.0000000000 
  56.4999522765 500.0000000000  1.0000000000 
  56.7499520653 500.0000000000  1.0000000000 
  56.9999518542 500.0000000000  1.0000000000 
  57.2499516430 500.0000000000  1.0000000000 
  57.4999514318 500.0000000000  1.0000000000 
  57.7499512207 500.0000000000  1.0000000000 
  57.9999510095 500.0000000000  1.0000000000 
  58.2499507983 500.0000000000  1.0000000000 
  58.4999505872 500.0000000000  1.0000000000 
  58.7499503760 500.0000000000  1.0000000000 
  58.9999501648 500.0000000000  1.0000000000 
  59.2499499537 500.0000000000  1.0000000000 
  59.4999497425 500.0000000000  1.0000000000 
  59.7499495313 500.0000000000  1.0000000000 
  59.9999493202 500.0000000000  1.0000000000 
  60.2499491090 500.0000000000  1.0000000000 
  60.4999488978 500.0000000000  1.0000000000 
  60.7499486867 500.0000000000  1.0000000000 
  60.9999484755 500.0000000000  1.0000000000 
  61.2499482643 500.0000000000  1.0000000000 
  61.4999480532 500.0000000000  1.0000000000 
  61.7499478420 500.0000000000  1.0000000000 
  61.9999476308 500.0000000000  1.0000000000 
  62.2499474197 500.0000000000  1.0000000000 
  62.4999472085 500.0000000000  1.0000000000 
  62.7499469973 500.0000000000  1.0000000000 
  62.9999467862 500.0000000000  1.0000000000 
  63.2499465750 500.0000000000  1.0000000000 
  63.4999463638 500.0000000000  1.0000000000 
  63.7499461527 500.0000000000  1.0000000000 
  63.9999459415 500.0000000000  1.0000000000 
  64.2499457303 500.0000000000  1.0000000000 
  64.4999455192 500.0000000000  1.0000000000 
  64.7499453080 500.0000000000  1.0000000000 
  64.9999450968 500.0000000000  1.0000000000 
  65.2499448857 500.0000000000  1.0000000000 
  65.4999446745 500.0000000000  1.0000000000 
  65.7499444633 500.0000000000  1.0000000000 
  65.9999442522 500.0000000000  1.0000000000 
  66.2499440410 500.0000000000  1.0000000000 
  66.4999438298 500.0000000000  1.0000000000 
  66.7499436187 500.0000000000  1.0000000000 
  66.9999434075 500.0000000000  1.0000000000 
  67.2499431964 500.0000000000  1.0000000000 
  67.4999429852 500.0000000000  1.0000000000 
  67.7499427740 500.0000000000  1.0000000000 
  67.9999425629 500.0000000000  1.0000000000 
  68.2499423517 500.0000000000  1.0000000000 
  68.4999421405 500.0000000000  1.0000000000 
  68.7499419294 500.0000000000  1.0000000000 
  68.9999417182 500.0000000000  1.0000000000 
  69.2499415070 500.0000000000  1.0000000000 
  69.4999412959 500.0000000000  1.0000000000 
  69.7499410847 500.0000000000  1.0000000000 
  69.9999408735 500.0000000000  1.0000000000 
  70.2499406624 500.0000000000  1.0000000000 
  70.4999404512 500.0000000000  1.0000000000 
  70.7499402400 500.0000000000  1.0000000000 
  70.9999400289 500.0000000000  1.0000000000 
  71.2499398177 500.0000000000  1.0000000000 
  71.4999396065 500.0000000000  1.0000000000 
  71.7499393954 500.0000000000  1.0000000000 
  71.9999391842 500.0000000000  1.0000000000 
  72.2499389730 500.0000000000  1.0000000000 
  72.4999387619 500.0000000000  1.0000000000 
  72.7499385507 500.0000000000  1.0000000000 
  72.9999383395 500.0000000000  1.0000000000 
  73.2499381284 500.0000000000  1.0000000000 
  73.4999379172 500.0000000000  1.0000000000 
  73.7499377060 500.0000000000  1.0000000000 
  73.9999374949 500.0000000000  1.0000000000 
