# Using Bulk W data set with air above and below
# Thickness of W layer is 10 nm (0.01 microns)
# Incident Angle is 45 deg
# Wavelengths span the entire data set of W date: 400 nm - 6000 nm

# Angle (deg)   Wavelength (nm)  Reflectance  Transmission
  45.0000000000 5106.1900000000  0.0577677811 0.5783634999
  45.0000000000 5091.0200000000  0.0578069033 0.5782530661
  45.0000000000 5075.9500000000  0.0578462940 0.5781418501
  45.0000000000 5060.9600000000  0.0578860008 0.5780297188
  45.0000000000 5046.0600000000  0.0579259933 0.5779167603
  45.0000000000 5031.2400000000  0.0579662939 0.5778029124
  45.0000000000 5016.5200000000  0.0580068436 0.5776883436
  45.0000000000 5001.8800000000  0.0580476925 0.5775729136
  45.0000000000 4987.3200000000  0.0580888370 0.5774566348
  45.0000000000 4972.8500000000  0.0581302442 0.5773396010
  45.0000000000 4958.4600000000  0.0581719384 0.5772217456
  45.0000000000 4944.1600000000  0.0582138860 0.5771031647
  45.0000000000 4929.9400000000  0.0582561118 0.5769837899
  45.0000000000 4915.8000000000  0.0582986117 0.5768636342
  45.0000000000 4901.7400000000  0.0583413817 0.5767427108
  45.0000000000 4887.7600000000  0.0583844174 0.5766210330
  45.0000000000 4873.8600000000  0.0584277146 0.5764986143
  45.0000000000 4860.0400000000  0.0584712691 0.5763754683
  45.0000000000 4846.2900000000  0.0585151085 0.5762515180
  45.0000000000 4832.6300000000  0.0585591648 0.5761269576
  45.0000000000 4819.0400000000  0.0586034980 0.5760016187
  45.0000000000 4805.5300000000  0.0586480714 0.5758756061
  45.0000000000 4792.0900000000  0.0586929142 0.5757488391
  45.0000000000 4778.7300000000  0.0587379888 0.5756214249
  45.0000000000 4765.4400000000  0.0587833251 0.5754932810
  45.0000000000 4752.2300000000  0.0588288846 0.5753645169
  45.0000000000 4739.0900000000  0.0588746978 0.5752350483
  45.0000000000 4726.0200000000  0.0589207609 0.5751048869
  45.0000000000 4713.0200000000  0.0589670702 0.5749740445
  45.0000000000 4700.1000000000  0.0590135859 0.5748426352
  45.0000000000 4687.2400000000  0.0590603761 0.5747104678
  45.0000000000 4674.4600000000  0.0591073641 0.5745777599
  45.0000000000 4661.7400000000  0.0591546197 0.5744443161
  45.0000000000 4649.1000000000  0.0592020646 0.5743103587
  45.0000000000 4636.5200000000  0.0592497698 0.5741756881
  45.0000000000 4624.0100000000  0.0592976941 0.5740404225
  45.0000000000 4611.5700000000  0.0593458333 0.5739045745
  45.0000000000 4599.1900000000  0.0593942226 0.5737680462
  45.0000000000 4586.8900000000  0.0594427796 0.5736310711
  45.0000000000 4574.6400000000  0.0594916193 0.5734933266
  45.0000000000 4562.4600000000  0.0595406587 0.5733550474
  45.0000000000 4550.3500000000  0.0595898936 0.5732162468
  45.0000000000 4538.3000000000  0.0596393609 0.5730768219
  45.0000000000 4526.3200000000  0.0596890157 0.5729369004
  45.0000000000 4514.3900000000  0.0597389377 0.5727962588
  45.0000000000 4502.5300000000  0.0597890400 0.5726551435
  45.0000000000 4490.7400000000  0.0598393180 0.5725135682
  45.0000000000 4479.0000000000  0.0598898536 0.5723713034
  45.0000000000 4467.3200000000  0.0599406011 0.5722284792
  45.0000000000 4455.7100000000  0.0599915129 0.5720852305
  45.0000000000 4444.1600000000  0.0600426289 0.5719414464
  45.0000000000 4432.6600000000  0.0600939902 0.5717970117
  45.0000000000 4421.2300000000  0.0601455042 0.5716521887
  45.0000000000 4409.8500000000  0.0601972573 0.5715067352
  45.0000000000 4398.5300000000  0.0602492011 0.5713607886
  45.0000000000 4387.2700000000  0.0603013318 0.5712143602
  45.0000000000 4376.0700000000  0.0603536458 0.5710674616
  45.0000000000 4364.9300000000  0.0604061393 0.5709201042
  45.0000000000 4353.8400000000  0.0604588563 0.5707721658
  45.0000000000 4342.8100000000  0.0605117461 0.5706237897
  45.0000000000 4331.8300000000  0.0605648532 0.5704748517
  45.0000000000 4320.9100000000  0.0606181262 0.5703254975
  45.0000000000 4310.0400000000  0.0606716105 0.5701756006
  45.0000000000 4299.2300000000  0.0607252535 0.5700253095
  45.0000000000 4288.4700000000  0.0607791015 0.5698744955
  45.0000000000 4277.7700000000  0.0608331010 0.5697233093
  45.0000000000 4267.1200000000  0.0608872990 0.5695716202
  45.0000000000 4256.5200000000  0.0609416927 0.5694194374
  45.0000000000 4245.9700000000  0.0609962791 0.5692667698
  45.0000000000 4235.4800000000  0.0610510031 0.5691137731
  45.0000000000 4225.0400000000  0.0611059131 0.5689603124
  45.0000000000 4214.6500000000  0.0611610061 0.5688063970
  45.0000000000 4204.3100000000  0.0612162792 0.5686520363
  45.0000000000 4194.0200000000  0.0612717293 0.5684972398
  45.0000000000 4183.7800000000  0.0613273532 0.5683420171
  45.0000000000 4173.6000000000  0.0613830930 0.5681865311
  45.0000000000 4163.4600000000  0.0614390549 0.5680304861
  45.0000000000 4153.3700000000  0.0614951812 0.5678740439
  45.0000000000 4143.3300000000  0.0615514687 0.5677172145
  45.0000000000 4133.3300000000  0.0616079709 0.5675598499
  45.0000000000 4123.3900000000  0.0616645714 0.5674022747
  45.0000000000 4113.4900000000  0.0617213809 0.5672441821
  45.0000000000 4103.6400000000  0.0617783393 0.5670857400
  45.0000000000 4093.8400000000  0.0618354432 0.5669269588
  45.0000000000 4084.0900000000  0.0618926891 0.5667678487
  45.0000000000 4074.3800000000  0.0619501330 0.5666082551
  45.0000000000 4064.7100000000  0.0620077727 0.5664481851
  45.0000000000 4055.1000000000  0.0620654856 0.5662879801
  45.0000000000 4045.5200000000  0.0621234489 0.5661271488
  45.0000000000 4036.0000000000  0.0621814782 0.5659662038
  45.0000000000 4026.5100000000  0.0622397534 0.5658046469
  45.0000000000 4017.0800000000  0.0622980874 0.5656429977
  45.0000000000 4007.6800000000  0.0623566627 0.5654807512
  45.0000000000 3998.3300000000  0.0624153524 0.5653182598
  45.0000000000 3989.0300000000  0.0624741527 0.5651555346
  45.0000000000 3979.7600000000  0.0625331877 0.5649922332
  45.0000000000 3970.5400000000  0.0625923276 0.5648287153
