# Using Bulk W data set with air above and below
# Thickness of W layer is 10 nm (0.01 microns)
# Incident Angle is 45 deg
# Wavelengths span the entire data set of W date: 400 nm - 6000 nm

# Angle (deg)   Wavelength (nm)  Reflectance  Transmission
  45.0000000000 2872.5000000000  0.4663349150 0.3090315972
  45.0000000000 2867.6900000000  0.4658901529 0.3095154756
  45.0000000000 2862.9000000000  0.4654437020 0.3100030425
  45.0000000000 2858.1300000000  0.4649923416 0.3104959234
  45.0000000000 2853.3700000000  0.4645374430 0.3109928667
  45.0000000000 2848.6300000000  0.4640775800 0.3114952008
  45.0000000000 2843.9000000000  0.4636110202 0.3120034976
  45.0000000000 2839.1900000000  0.4631425398 0.3125154406
  45.0000000000 2834.4900000000  0.4626702819 0.3130313770
  45.0000000000 2829.8100000000  0.4621930856 0.3135530732
  45.0000000000 2825.1500000000  0.4617107820 0.3140803613
  45.0000000000 2820.5000000000  0.4612216051 0.3146138330
  45.0000000000 2815.8700000000  0.4607689291 0.3151498610
  45.0000000000 2811.2500000000  0.4603657483 0.3156910157
  45.0000000000 2806.6400000000  0.4599592958 0.3162366547
  45.0000000000 2802.0600000000  0.4595436410 0.3167915848
  45.0000000000 2797.4800000000  0.4591291369 0.3173476515
  45.0000000000 2792.9200000000  0.4587098587 0.3179096576
  45.0000000000 2788.3800000000  0.4582857775 0.3184776514
  45.0000000000 2783.8500000000  0.4578583049 0.3190503394
  45.0000000000 2779.3400000000  0.4574259762 0.3196291067
  45.0000000000 2774.8400000000  0.4569903516 0.3202128789
  45.0000000000 2770.3500000000  0.4565511233 0.3208012464
  45.0000000000 2765.8800000000  0.4561069610 0.3213958302
  45.0000000000 2761.4200000000  0.4556560115 0.3219972832
  45.0000000000 2756.9800000000  0.4552033413 0.3226030950
  45.0000000000 2752.5500000000  0.4547471120 0.3232139044
  45.0000000000 2748.1400000000  0.4542859851 0.3238313558
  45.0000000000 2743.7400000000  0.4538211035 0.3244536659
  45.0000000000 2739.3500000000  0.4533525901 0.3250811084
  45.0000000000 2734.9800000000  0.4528789520 0.3257151079
  45.0000000000 2730.6200000000  0.4524016311 0.3263543344
  45.0000000000 2726.2800000000  0.4519192769 0.3270004579
  45.0000000000 2721.9500000000  0.4514296726 0.3276537036
  45.0000000000 2717.6400000000  0.4509381871 0.3283116871
  45.0000000000 2713.3300000000  0.4504443988 0.3289736936
  45.0000000000 2709.0400000000  0.4499453189 0.3296425638
  45.0000000000 2704.7700000000  0.4494409156 0.3303183556
  45.0000000000 2700.5100000000  0.4489327997 0.3309999620
  45.0000000000 2696.2600000000  0.4484206455 0.3316869429
  45.0000000000 2692.0200000000  0.4479603517 0.3323626065
  45.0000000000 2687.8000000000  0.4475148170 0.3330389783
  45.0000000000 2683.5900000000  0.4470657873 0.3337209467
  45.0000000000 2679.4000000000  0.4466115823 0.3344097375
  45.0000000000 2675.2100000000  0.4461554958 0.3351030473
  45.0000000000 2671.0500000000  0.4456928279 0.3358049720
  45.0000000000 2666.8900000000  0.4452280826 0.3365112658
  45.0000000000 2662.7500000000  0.4447580571 0.3372245985
  45.0000000000 2658.6100000000  0.4442860714 0.3379426492
  45.0000000000 2654.5000000000  0.4438073892 0.3386695560
  45.0000000000 2650.3900000000  0.4433265477 0.3394010301
  45.0000000000 2646.3000000000  0.4428403187 0.3401397688
  45.0000000000 2642.2200000000  0.4423505177 0.3408848955
  45.0000000000 2638.1500000000  0.4418569647 0.3416362046
  45.0000000000 2634.1000000000  0.4413581007 0.3423952205
  45.0000000000 2630.0600000000  0.4408552735 0.3431602698
  45.0000000000 2626.0300000000  0.4403487798 0.3439319400
  45.0000000000 2622.0100000000  0.4398384370 0.3447100224
  45.0000000000 2618.0000000000  0.4393242218 0.3454945741
  45.0000000000 2614.0100000000  0.4388043980 0.3462868699
  45.0000000000 2610.0300000000  0.4382808110 0.3470860295
  45.0000000000 2606.0600000000  0.4377532754 0.3478918413
  45.0000000000 2602.1000000000  0.4372217673 0.3487043649
  45.0000000000 2598.1600000000  0.4366845364 0.3495248875
  45.0000000000 2594.2300000000  0.4361434435 0.3503525275
  45.0000000000 2590.3100000000  0.4355983001 0.3511870701
  45.0000000000 2586.4000000000  0.4350490818 0.3520285778
  45.0000000000 2582.5000000000  0.4344678837 0.3528908089
  45.0000000000 2578.6100000000  0.4336671068 0.3538672799
  45.0000000000 2574.7400000000  0.4328627456 0.3548511433
  45.0000000000 2570.8800000000  0.4320488074 0.3558457143
  45.0000000000 2567.0300000000  0.4312288425 0.3568484055
  45.0000000000 2563.1900000000  0.4304031498 0.3578598764
  45.0000000000 2559.3600000000  0.4295715225 0.3588799170
  45.0000000000 2555.5400000000  0.4287339216 0.3599086075
  45.0000000000 2551.7400000000  0.4278885450 0.3609472830
  45.0000000000 2547.9500000000  0.4270411459 0.3619926087
  45.0000000000 2544.1600000000  0.4261853979 0.3630477341
  45.0000000000 2540.3900000000  0.4253219190 0.3641134042
  45.0000000000 2536.6300000000  0.4244520922 0.3651878409
  45.0000000000 2532.8800000000  0.4235762216 0.3662717411
  45.0000000000 2529.1500000000  0.4226924879 0.3673664637
  45.0000000000 2525.4200000000  0.4218040622 0.3684689469
  45.0000000000 2521.7000000000  0.4209130860 0.3695779819
  45.0000000000 2518.0000000000  0.4200103440 0.3707009728
  45.0000000000 2514.3000000000  0.4191027943 0.3718319810
  45.0000000000 2510.6200000000  0.4181871647 0.3729742799
  45.0000000000 2506.9500000000  0.4172648519 0.3741260502
  45.0000000000 2503.2900000000  0.4163361654 0.3752880298
  45.0000000000 2499.6400000000  0.4154008878 0.3764599924
